,Person 1,Person 2,weight
0,King.,Ham.,13
1,King.,Hor.,2
2,King.,Laer.,26
3,King.,Ros.,6
4,King.,Guil.,1
7,King.,Queen.,11
8,King.,Oph.,4
9,Ham.,King.,13
12,Ham.,Ros.,10
13,Ham.,Guil.,1
15,Ham.,Capt.,7
23,Hor.,Gent.,1
27,Laer.,King.,17
34,Laer.,Queen.,6
35,Laer.,Oph.,4
36,Ros.,King.,2
37,Ros.,Ham.,9
42,Ros.,Capt.,2
45,Guil.,King.,1
46,Guil.,Ham.,2
49,Guil.,Ros.,2
61,Gent.,Queen.,2
64,Capt.,Ham.,6
72,Queen.,King.,5
74,Queen.,Hor.,1
75,Queen.,Laer.,6
78,Queen.,Gent.,1
80,Queen.,Oph.,4
81,Oph.,King.,5
84,Oph.,Laer.,4
89,Oph.,Queen.,5
