,Person 1,Person 2,weight
0,King.,Ham.,12
1,King.,Pol.,4
3,King.,Ros.,2
5,King.,Queen.,6
6,King.,Oph.,3
8,Ham.,King.,8
9,Ham.,Pol.,14
10,Ham.,Hor.,7
11,Ham.,Ros.,6
12,Ham.,Guil.,13
13,Ham.,Queen.,31
14,Ham.,Oph.,27
15,Ham.,Ghost.,2
16,Pol.,King.,4
17,Pol.,Ham.,15
19,Pol.,Ros.,3
21,Pol.,Queen.,8
22,Pol.,Oph.,2
24,Hor.,King.,1
25,Hor.,Ham.,7
26,Hor.,Pol.,1
32,Ros.,King.,3
33,Ros.,Ham.,9
34,Ros.,Pol.,3
36,Ros.,Guil.,5
37,Ros.,Queen.,2
40,Guil.,King.,2
41,Guil.,Ham.,14
43,Guil.,Hor.,2
44,Guil.,Ros.,3
45,Guil.,Queen.,1
48,Queen.,King.,5
49,Queen.,Ham.,30
50,Queen.,Pol.,5
52,Queen.,Ros.,4
53,Queen.,Guil.,2
54,Queen.,Oph.,4
55,Queen.,Ghost.,2
56,Oph.,King.,1
57,Oph.,Ham.,28
58,Oph.,Pol.,2
60,Oph.,Ros.,1
62,Oph.,Queen.,2
65,Ghost.,Ham.,5
70,Ghost.,Queen.,4
