,Person 1,Person 2,weight
1,King.,Ham.,2
2,King.,Pol.,1
4,King.,Laer.,1
5,King.,Volt.,1
6,King.,Cor.,1
10,King.,Queen.,1
14,Mar.,Ham.,15
16,Mar.,Hor.,29
20,Mar.,Ber.,13
21,Mar.,Fran.,4
24,Mar.,Ghost.,2
25,Ham.,King.,4
26,Ham.,Mar.,13
27,Ham.,Pol.,1
28,Ham.,Hor.,43
32,Ham.,Mar.,13
33,Ham.,Ber.,1
35,Ham.,Queen.,3
37,Ham.,Ghost.,12
38,Pol.,King.,1
42,Pol.,Laer.,5
49,Pol.,Oph.,6
52,Hor.,Mar.,30
53,Hor.,Ham.,48
58,Hor.,Mar.,30
59,Hor.,Ber.,15
60,Hor.,Fran.,4
63,Hor.,Ghost.,7
67,Laer.,Pol.,1
75,Laer.,Oph.,4
104,Mar.,Ham.,15
106,Mar.,Hor.,29
110,Mar.,Ber.,13
111,Mar.,Fran.,4
114,Mar.,Ghost.,2
116,Ber.,Mar.,12
117,Ber.,Ham.,2
119,Ber.,Hor.,10
123,Ber.,Mar.,12
124,Ber.,Fran.,8
127,Ber.,Ghost.,3
129,Fran.,Mar.,2
132,Fran.,Hor.,1
136,Fran.,Mar.,2
137,Fran.,Ber.,6
141,Queen.,King.,2
143,Queen.,Ham.,3
144,Queen.,Pol.,1
157,Oph.,Pol.,6
159,Oph.,Laer.,5
168,Ghost.,Mar.,6
169,Ghost.,Ham.,16
171,Ghost.,Hor.,8
175,Ghost.,Mar.,6
176,Ghost.,Ber.,4
