,Person 1,Person 2,weight
1,King.,Ham.,47
2,King.,Pol.,14
3,King.,Hor.,4
4,King.,Laer.,41
5,King.,Volt.,1
6,King.,Cor.,1
7,King.,Ros.,9
8,King.,Guil.,3
9,King.,Osr.,5
20,King.,Queen.,26
21,King.,Oph.,8
24,Mar.,Ham.,15
26,Mar.,Hor.,29
35,Mar.,Ber.,13
36,Mar.,Fran.,4
44,Mar.,Ghost.,2
45,Ham.,King.,40
46,Ham.,Mar.,13
47,Ham.,Pol.,41
48,Ham.,Hor.,79
49,Ham.,Laer.,20
52,Ham.,Ros.,38
53,Ham.,Guil.,24
54,Ham.,Osr.,24
56,Ham.,Priest.,1
57,Ham.,Mar.,13
58,Ham.,Ber.,1
63,Ham.,Capt.,7
65,Ham.,Queen.,43
66,Ham.,Oph.,27
67,Ham.,Ghost.,14
68,Pol.,King.,15
70,Pol.,Ham.,41
72,Pol.,Laer.,5
75,Pol.,Ros.,4
76,Pol.,Guil.,2
83,Pol.,Rey.,13
88,Pol.,Queen.,14
89,Pol.,Oph.,12
91,Hor.,King.,3
92,Hor.,Mar.,30
93,Hor.,Ham.,89
94,Hor.,Pol.,1
95,Hor.,Laer.,3
100,Hor.,Osr.,11
101,Hor.,Gent.,1
103,Hor.,Mar.,30
104,Hor.,Ber.,15
105,Hor.,Fran.,4
108,Hor.,Fort.,3
110,Hor.,Ambassador.,1
111,Hor.,Queen.,1
113,Hor.,Ghost.,7
114,Laer.,King.,28
116,Laer.,Ham.,19
117,Laer.,Pol.,1
118,Laer.,Hor.,1
123,Laer.,Osr.,4
125,Laer.,Priest.,2
134,Laer.,Queen.,11
135,Laer.,Oph.,8
137,Volt.,King.,1
157,Volt.,Queen.,1
183,Ros.,King.,5
185,Ros.,Ham.,47
186,Ros.,Pol.,6
191,Ros.,Guil.,13
201,Ros.,Capt.,2
203,Ros.,Queen.,3
206,Guil.,King.,4
208,Guil.,Ham.,33
209,Guil.,Pol.,2
210,Guil.,Hor.,2
214,Guil.,Ros.,19
226,Guil.,Queen.,2
229,Osr.,King.,5
231,Osr.,Ham.,29
233,Osr.,Hor.,5
234,Osr.,Laer.,7
249,Osr.,Queen.,1
272,Gent.,Queen.,2
277,Priest.,Ham.,1
280,Priest.,Laer.,3
299,Mar.,Ham.,15
301,Mar.,Hor.,29
310,Mar.,Ber.,13
311,Mar.,Fran.,4
319,Mar.,Ghost.,2
321,Ber.,Mar.,12
322,Ber.,Ham.,2
324,Ber.,Hor.,10
333,Ber.,Mar.,12
334,Ber.,Fran.,8
342,Ber.,Ghost.,3
344,Fran.,Mar.,2
347,Fran.,Hor.,1
356,Fran.,Mar.,2
357,Fran.,Ber.,6
369,Rey.,Pol.,11
416,Fort.,Hor.,3
437,Capt.,Ham.,6
462,Ambassador.,Hor.,1
476,Ambassador.,Fort.,2
481,Queen.,King.,27
483,Queen.,Ham.,42
484,Queen.,Pol.,10
485,Queen.,Hor.,3
486,Queen.,Laer.,11
489,Queen.,Ros.,5
490,Queen.,Guil.,4
491,Queen.,Osr.,3
492,Queen.,Gent.,1
493,Queen.,Priest.,1
502,Queen.,Oph.,8
503,Queen.,Ghost.,2
504,Oph.,King.,7
506,Oph.,Ham.,28
507,Oph.,Pol.,15
509,Oph.,Laer.,9
512,Oph.,Ros.,1
520,Oph.,Rey.,2
525,Oph.,Queen.,7
528,Ghost.,Mar.,6
529,Ghost.,Ham.,21
531,Ghost.,Hor.,8
540,Ghost.,Mar.,6
541,Ghost.,Ber.,4
548,Ghost.,Queen.,4
