,Person 1,Person 2,weight
1,King.,Pol.,9
3,King.,Ros.,1
4,King.,Guil.,2
6,King.,Queen.,4
7,King.,Oph.,1
8,Ham.,King.,1
9,Ham.,Pol.,26
11,Ham.,Ros.,22
12,Ham.,Guil.,10
14,Ham.,Queen.,1
16,Pol.,King.,10
17,Pol.,Ham.,26
19,Pol.,Ros.,1
20,Pol.,Guil.,2
21,Pol.,Rey.,13
22,Pol.,Queen.,6
23,Pol.,Oph.,4
24,Volt.,King.,1
30,Volt.,Queen.,1
33,Ros.,Ham.,29
34,Ros.,Pol.,3
36,Ros.,Guil.,8
38,Ros.,Queen.,1
40,Guil.,King.,1
41,Guil.,Ham.,17
42,Guil.,Pol.,2
44,Guil.,Ros.,14
46,Guil.,Queen.,1
50,Rey.,Pol.,11
56,Queen.,King.,7
58,Queen.,Pol.,4
60,Queen.,Ros.,1
61,Queen.,Guil.,2
64,Oph.,King.,1
66,Oph.,Pol.,7
70,Oph.,Rey.,2
